freq,value
0.000000000000000000e+00,5.063738756580802918e-05
1.000000000000000000e+00,5.225721257538660575e-05
2.000000000000000000e+00,9.558299880518762639e-05
3.000000000000000000e+00,1.453523309989695122e-04
4.000000000000000000e+00,2.583633226799845182e-04
5.000000000000000000e+00,2.661845441148679467e-04
6.000000000000000000e+00,2.943321695829574994e-04
7.000000000000000000e+00,4.090964358729781334e-04
8.000000000000000000e+00,3.087159776740557417e-04
9.000000000000000000e+00,2.235939522797533556e-04
1.000000000000000000e+01,2.092186652817977250e-04
1.100000000000000000e+01,2.044630071484223948e-04
1.200000000000000000e+01,4.524952138482275072e-04
1.300000000000000000e+01,7.069608065100658383e-04
1.400000000000000000e+01,5.910766298462023782e-04
1.500000000000000000e+01,3.132097468528539778e-04
1.600000000000000000e+01,2.861567514808626474e-04
1.700000000000000000e+01,2.629062576278205863e-04
1.800000000000000000e+01,2.883646087281805932e-04
1.900000000000000000e+01,6.485293108829260755e-04
2.000000000000000000e+01,8.299906104766130140e-04
2.100000000000000000e+01,4.979915029909473241e-04
2.200000000000000000e+01,4.470780272216529419e-04
2.300000000000000000e+01,3.720190021606094907e-04
2.400000000000000000e+01,3.962044412220741118e-04
2.500000000000000000e+01,4.136712897183691994e-04
2.600000000000000000e+01,6.872614755393060583e-04
2.700000000000000000e+01,6.689486426443529274e-04
2.800000000000000000e+01,5.143749480831722506e-04
2.900000000000000000e+01,5.165273540099362976e-04
3.000000000000000000e+01,3.410830151691036580e-04
3.100000000000000000e+01,3.997917514966223989e-04
3.200000000000000000e+01,6.070525765228000550e-04
3.300000000000000000e+01,7.654777608400236636e-04
3.400000000000000000e+01,6.186696788577889612e-04
3.500000000000000000e+01,5.025525366202624085e-04
3.600000000000000000e+01,3.727306897593921173e-04
3.700000000000000000e+01,3.907881062893351753e-04
3.800000000000000000e+01,5.220013957001484479e-04
3.900000000000000000e+01,7.115406831864008784e-04
4.000000000000000000e+01,7.017936503771934334e-04
4.100000000000000000e+01,5.887692727512511097e-04
4.200000000000000000e+01,3.980499843269081598e-04
4.300000000000000000e+01,3.576365831764381732e-04
4.400000000000000000e+01,4.775155685695486180e-04
4.500000000000000000e+01,6.061597311772246640e-04
4.600000000000000000e+01,7.436808670540315811e-04
4.700000000000000000e+01,6.472209946284972941e-04
4.800000000000000000e+01,5.582657141184225536e-04
4.900000000000000000e+01,3.751686893150872658e-04
5.000000000000000000e+01,4.765611528473801721e-04
5.100000000000000000e+01,5.978227639479954903e-04
5.200000000000000000e+01,6.597227274213273394e-04
5.300000000000000000e+01,7.223346498091843659e-04
5.400000000000000000e+01,5.879849185021817021e-04
5.500000000000000000e+01,4.878421486514963271e-04
5.600000000000000000e+01,4.666090501433463344e-04
5.700000000000000000e+01,5.421264432721108369e-04
5.800000000000000000e+01,6.761614322394562428e-04
5.900000000000000000e+01,6.242572386629030492e-04
6.000000000000000000e+01,6.526877946852648526e-04
6.100000000000000000e+01,5.981679793751197745e-04
6.200000000000000000e+01,3.821523562928935951e-04
6.300000000000000000e+01,5.341677548326260886e-04
6.400000000000000000e+01,7.605295678038679653e-04
6.500000000000000000e+01,8.270442789917389773e-04
6.600000000000000000e+01,6.848621440814091875e-04
6.700000000000000000e+01,6.115798193185744726e-04
6.800000000000000000e+01,5.507326736782270932e-04
6.900000000000000000e+01,4.395460434221175414e-04
7.000000000000000000e+01,7.449412550085362551e-04
7.100000000000000000e+01,1.131709905901756227e-03
7.200000000000000000e+01,1.126772603715050884e-03
7.300000000000000000e+01,1.036138952458255311e-03
7.400000000000000000e+01,9.002802965193569670e-04
7.500000000000000000e+01,4.926510860182053454e-04
7.600000000000000000e+01,7.705478093305784737e-04
7.700000000000000000e+01,1.661710717686424883e-03
7.800000000000000000e+01,2.777576019744872754e-03
7.900000000000000000e+01,3.178121079979854668e-03
8.000000000000000000e+01,3.925915356290473127e-03
8.100000000000000000e+01,3.187618200729279688e-03
8.200000000000000000e+01,2.043547383266132531e-03
8.300000000000000000e+01,2.728979746583943405e-03
8.400000000000000000e+01,3.835690365448002695e-03
8.500000000000000000e+01,3.783448705755740327e-03
8.600000000000000000e+01,2.516726287494687291e-03
8.700000000000000000e+01,1.675057324743624981e-03
8.800000000000000000e+01,8.983114296018195576e-04
8.900000000000000000e+01,7.165410963230281222e-04
9.000000000000000000e+01,9.021505608269504185e-04
9.100000000000000000e+01,1.088327985259820605e-03
9.200000000000000000e+01,1.196144284354752315e-03
9.300000000000000000e+01,1.332229643743122706e-03
9.400000000000000000e+01,1.197499061936355656e-03
9.500000000000000000e+01,1.255704835741995855e-03
9.600000000000000000e+01,1.516025718952933050e-03
9.700000000000000000e+01,1.776698416888780174e-03
9.800000000000000000e+01,1.797134082752420946e-03
9.900000000000000000e+01,1.638498153234191346e-03
1.000000000000000000e+02,2.307477568710375286e-03
1.010000000000000000e+02,2.243225335356867009e-03
1.020000000000000000e+02,1.842956165939785111e-03
1.030000000000000000e+02,1.980285242701293122e-03
1.040000000000000000e+02,1.823650224576022936e-03
1.050000000000000000e+02,1.902677173894273951e-03
1.060000000000000000e+02,2.618480883153164601e-03
1.070000000000000000e+02,3.513894279860175444e-03
1.080000000000000000e+02,4.227513023800832416e-03
1.090000000000000000e+02,4.165277998848035748e-03
1.100000000000000000e+02,4.179665830235806262e-03
1.110000000000000000e+02,3.282244247292620543e-03
1.120000000000000000e+02,2.232244643873165270e-03
1.130000000000000000e+02,1.403747433998804020e-03
1.140000000000000000e+02,1.501336957664888613e-03
