freq,value
0.000000000000000000e+00,5.815471676924933352e-05
1.000000000000000000e+00,3.556259865520891106e-05
2.000000000000000000e+00,1.400538071665966455e-04
3.000000000000000000e+00,2.682254231556891193e-04
4.000000000000000000e+00,2.447003494988738911e-04
5.000000000000000000e+00,1.943064966124857188e-04
6.000000000000000000e+00,3.129046647293483047e-04
7.000000000000000000e+00,2.365679085533397945e-04
8.000000000000000000e+00,3.497837129689957943e-04
9.000000000000000000e+00,2.717198341176528965e-04
1.000000000000000000e+01,1.477100119565510179e-04
1.100000000000000000e+01,1.403631237801481705e-04
1.200000000000000000e+01,2.669163394673699217e-04
1.300000000000000000e+01,6.672064904363477237e-04
1.400000000000000000e+01,4.551192847054948880e-04
1.500000000000000000e+01,3.266260496598879636e-04
1.600000000000000000e+01,3.129152735968932777e-04
1.700000000000000000e+01,1.730331452116665929e-04
1.800000000000000000e+01,7.372459040925445964e-05
1.900000000000000000e+01,4.781353932398567765e-04
2.000000000000000000e+01,7.661012423916393555e-04
2.100000000000000000e+01,3.878686265429397975e-04
2.200000000000000000e+01,4.139729210117520800e-04
2.300000000000000000e+01,2.135139580683232438e-04
2.400000000000000000e+01,2.101880720102874500e-04
2.500000000000000000e+01,3.270859815975756457e-04
2.600000000000000000e+01,7.174408673445882567e-04
2.700000000000000000e+01,6.905212304458891890e-04
2.800000000000000000e+01,4.794094708379903176e-04
2.900000000000000000e+01,4.383538070117248028e-04
3.000000000000000000e+01,2.997377226580014804e-04
3.100000000000000000e+01,2.999294012833834695e-04
3.200000000000000000e+01,5.033998429208755374e-04
3.300000000000000000e+01,6.504447963707584227e-04
3.400000000000000000e+01,5.527647249065127145e-04
3.500000000000000000e+01,6.263698122327398263e-04
3.600000000000000000e+01,4.778860891367962089e-04
3.700000000000000000e+01,3.928709027443822019e-04
3.800000000000000000e+01,3.360213131484221646e-04
3.900000000000000000e+01,4.412718353522115814e-04
4.000000000000000000e+01,4.577883218509049652e-04
4.100000000000000000e+01,5.002901126350528917e-04
4.200000000000000000e+01,6.395588717930875133e-04
4.300000000000000000e+01,5.107077257267445426e-04
4.400000000000000000e+01,3.838203688808532123e-04
4.500000000000000000e+01,3.703074433009913508e-04
4.600000000000000000e+01,3.904282089118575497e-04
4.700000000000000000e+01,4.145515591631387334e-04
4.800000000000000000e+01,4.570648262186598676e-04
4.900000000000000000e+01,4.847602322562418950e-04
5.000000000000000000e+01,4.299694733726556247e-04
5.100000000000000000e+01,2.920853296538781217e-04
5.200000000000000000e+01,2.651732933061322068e-04
5.300000000000000000e+01,3.033464837246941628e-04
5.400000000000000000e+01,3.182623462383813188e-04
5.500000000000000000e+01,4.204403837234831705e-04
5.600000000000000000e+01,3.827272041431081491e-04
5.700000000000000000e+01,1.604403716740237270e-04
5.800000000000000000e+01,2.223935882206382508e-04
5.900000000000000000e+01,3.311258694907542833e-04
