freq,value
0.000000000000000000e+00,7.668929629588486490e-05
1.000000000000000000e+00,4.562706837569271024e-05
2.000000000000000000e+00,1.108668983663645266e-04
3.000000000000000000e+00,1.464326521362414890e-04
4.000000000000000000e+00,1.916744174167558316e-04
5.000000000000000000e+00,2.186367103618023383e-04
6.000000000000000000e+00,1.270759578652206929e-04
7.000000000000000000e+00,1.379116583466264291e-04
8.000000000000000000e+00,2.061902878997660146e-04
9.000000000000000000e+00,2.970192619992209669e-04
1.000000000000000000e+01,2.142772683835909267e-04
1.100000000000000000e+01,2.020257516025693984e-04
1.200000000000000000e+01,2.466333405995466219e-04
1.300000000000000000e+01,1.997850962717350083e-04
1.400000000000000000e+01,1.986123526777330752e-04
1.500000000000000000e+01,2.026619576719183326e-04
1.600000000000000000e+01,2.090243993406055425e-04
1.700000000000000000e+01,3.216490900330148668e-04
1.800000000000000000e+01,2.983804069574937448e-04
1.900000000000000000e+01,1.277310824046307678e-04
2.000000000000000000e+01,9.473913899781243476e-05
2.100000000000000000e+01,7.297169688748599437e-05
2.200000000000000000e+01,1.252389986811873446e-04
2.300000000000000000e+01,2.966807158699472633e-04
2.400000000000000000e+01,2.393660897714634816e-04
2.500000000000000000e+01,8.334816851760084981e-05
2.600000000000000000e+01,4.921409699895188696e-05
2.700000000000000000e+01,9.298716038318765643e-05
2.800000000000000000e+01,2.114978766818156821e-04
2.900000000000000000e+01,2.781448798441687933e-04
3.000000000000000000e+01,2.157384970181705844e-04
3.100000000000000000e+01,1.346439451587738559e-04
3.200000000000000000e+01,8.813712802480214463e-05
3.300000000000000000e+01,1.208345027056232789e-04
3.400000000000000000e+01,2.162618528159445264e-04
3.500000000000000000e+01,1.942463125475177299e-04
3.600000000000000000e+01,1.284637995337928979e-04
3.700000000000000000e+01,1.257706189709260653e-04
3.800000000000000000e+01,9.225365641320325152e-05
3.900000000000000000e+01,1.587186021212738684e-04
4.000000000000000000e+01,2.059774627912822759e-04
4.100000000000000000e+01,1.709914792931868481e-04
4.200000000000000000e+01,1.410364100486325096e-04
4.300000000000000000e+01,1.286827868563619943e-04
4.400000000000000000e+01,1.219518506263556876e-04
4.500000000000000000e+01,1.653018066175259413e-04
4.600000000000000000e+01,1.711946928377664618e-04
4.700000000000000000e+01,1.343694768706174981e-04
4.800000000000000000e+01,1.093902486221695857e-04
4.900000000000000000e+01,9.225181424108522276e-05
5.000000000000000000e+01,1.581135213565114112e-04
5.100000000000000000e+01,1.818305425712633751e-04
5.200000000000000000e+01,1.290932429972925814e-04
5.300000000000000000e+01,1.456385177583177637e-04
5.400000000000000000e+01,1.186534483416688617e-04
5.500000000000000000e+01,6.785835832053691073e-05
5.600000000000000000e+01,1.402758863588046115e-04
5.700000000000000000e+01,1.495865810111583749e-04
5.800000000000000000e+01,1.731967279967691772e-04
5.900000000000000000e+01,1.472392513083322350e-04
6.000000000000000000e+01,1.349216114263024964e-04
6.100000000000000000e+01,8.327728336032051422e-05
6.200000000000000000e+01,1.499722031556139203e-04
6.300000000000000000e+01,1.753838872840521779e-04
6.400000000000000000e+01,1.881006180800472312e-04
6.500000000000000000e+01,1.514925358269622060e-04
6.600000000000000000e+01,1.496103987164418606e-04
6.700000000000000000e+01,9.616878379525110594e-05
6.800000000000000000e+01,1.535134919387705138e-04
6.900000000000000000e+01,1.872323552067116045e-04
7.000000000000000000e+01,1.838780831877982877e-04
7.100000000000000000e+01,1.522899701663396848e-04
7.200000000000000000e+01,1.380794886906620920e-04
7.300000000000000000e+01,1.331158194388391597e-04
7.400000000000000000e+01,1.636784968290000333e-04
7.500000000000000000e+01,2.275674549389522581e-04
7.600000000000000000e+01,1.897625577983400188e-04
7.700000000000000000e+01,1.825221885111752689e-04
7.800000000000000000e+01,1.771689314947096354e-04
7.900000000000000000e+01,1.533427884297432014e-04
8.000000000000000000e+01,1.980181271377751888e-04
8.100000000000000000e+01,2.264264588111924927e-04
8.200000000000000000e+01,1.782501235422898924e-04
8.300000000000000000e+01,1.937491389419546530e-04
8.400000000000000000e+01,1.971118655670338771e-04
8.500000000000000000e+01,1.416051539999930390e-04
8.600000000000000000e+01,2.442159985453128883e-04
8.700000000000000000e+01,1.996092066630631334e-04
8.800000000000000000e+01,1.913484545563485736e-04
8.900000000000000000e+01,1.887911103806724864e-04
9.000000000000000000e+01,2.079062146967603137e-04
9.100000000000000000e+01,2.294806834509677544e-04
9.200000000000000000e+01,2.907152112033661948e-04
9.300000000000000000e+01,1.726997730204105216e-04
9.400000000000000000e+01,2.497942727635672809e-04
9.500000000000000000e+01,2.852648264414086058e-04
9.600000000000000000e+01,2.866238994553882186e-04
9.700000000000000000e+01,2.765781034224947779e-04
9.800000000000000000e+01,2.950986994697506064e-04
9.900000000000000000e+01,1.650557885533143591e-04
1.000000000000000000e+02,2.723865135484806544e-04
1.010000000000000000e+02,3.617502934404866828e-04
1.020000000000000000e+02,3.329606295163820939e-04
1.030000000000000000e+02,2.927316357487048872e-04
1.040000000000000000e+02,2.825659950645486381e-04
1.050000000000000000e+02,1.591482014242752506e-04
1.060000000000000000e+02,2.961503151601887606e-04
1.070000000000000000e+02,4.527962549959098511e-04
1.080000000000000000e+02,3.883775657513941632e-04
1.090000000000000000e+02,3.335155023631292256e-04
1.100000000000000000e+02,3.719093267121985477e-04
1.110000000000000000e+02,1.797892158633915564e-04
1.120000000000000000e+02,3.516534604673984257e-04
1.130000000000000000e+02,5.397473605199458544e-04
1.140000000000000000e+02,4.987342310313091272e-04
1.150000000000000000e+02,6.394125184110802411e-04
1.160000000000000000e+02,5.880918181575828111e-04
1.170000000000000000e+02,2.648313358217934820e-04
1.180000000000000000e+02,5.180273891956096652e-04
1.190000000000000000e+02,9.865726596259105467e-04
1.200000000000000000e+02,1.240462358457943568e-03
1.210000000000000000e+02,2.317786183322677850e-03
1.220000000000000000e+02,1.893789577312521028e-03
1.230000000000000000e+02,1.747993864874501212e-03
1.240000000000000000e+02,3.176126762805900079e-03
1.250000000000000000e+02,2.724034038773625981e-03
1.260000000000000000e+02,1.692325757384821258e-03
1.270000000000000000e+02,1.868922399718482563e-03
1.280000000000000000e+02,9.295863739600956780e-04
1.290000000000000000e+02,2.943087011952828964e-04
1.300000000000000000e+02,1.651295195943131835e-04
1.310000000000000000e+02,2.097895764785105103e-04
1.320000000000000000e+02,4.644011753806093147e-04
1.330000000000000000e+02,4.665303245239604867e-04
1.340000000000000000e+02,2.472878612557304220e-04
1.350000000000000000e+02,1.229635332216853609e-04
1.360000000000000000e+02,1.205544741633242844e-04
1.370000000000000000e+02,5.787272849878115382e-05
1.380000000000000000e+02,1.989175292740901922e-04
1.390000000000000000e+02,1.634285360803491057e-04
1.400000000000000000e+02,7.513729129910660378e-05
1.410000000000000000e+02,6.960468421094730520e-05
1.420000000000000000e+02,5.873815393762381646e-05
1.430000000000000000e+02,4.279956962924706595e-05
1.440000000000000000e+02,5.199359148257225285e-05
1.450000000000000000e+02,3.295767028184519453e-05
1.460000000000000000e+02,3.298564873492757703e-05
1.470000000000000000e+02,4.691616352133764762e-05
1.480000000000000000e+02,3.737064893638802725e-05
1.490000000000000000e+02,3.159388710760491106e-05
1.500000000000000000e+02,5.238421146479077208e-05
1.510000000000000000e+02,3.564063360703994713e-05
1.520000000000000000e+02,4.094146918438607181e-05
1.530000000000000000e+02,7.431232534482179182e-05
1.540000000000000000e+02,7.384826020706128965e-05
1.550000000000000000e+02,8.255615627135300886e-05
1.560000000000000000e+02,1.049194200614975923e-04
1.570000000000000000e+02,6.186158034357202283e-05
1.580000000000000000e+02,9.984631980230900298e-05
1.590000000000000000e+02,1.434060655091566681e-04
1.600000000000000000e+02,1.378065232262359939e-04
1.610000000000000000e+02,1.184614641481544707e-04
1.620000000000000000e+02,8.050692630858208960e-05
1.630000000000000000e+02,4.753527266226732160e-05
1.640000000000000000e+02,7.693333582926342241e-05
1.650000000000000000e+02,1.307462840439082923e-04
1.660000000000000000e+02,1.317960840289855349e-04
1.670000000000000000e+02,1.076585661867762061e-04
1.680000000000000000e+02,7.903793224007690484e-05
1.690000000000000000e+02,6.626382471620141700e-05
1.700000000000000000e+02,1.037716300356697735e-04
1.710000000000000000e+02,1.302353729743171507e-04
1.720000000000000000e+02,1.337997521570120864e-04
1.730000000000000000e+02,1.108588273908573264e-04
1.740000000000000000e+02,1.073299207173969926e-04
1.750000000000000000e+02,9.883090646128971047e-05
1.760000000000000000e+02,1.343212476287555714e-04
1.770000000000000000e+02,1.435369697133776195e-04
1.780000000000000000e+02,1.046305419569273671e-04
1.790000000000000000e+02,9.799055963532201329e-05
1.800000000000000000e+02,1.157296122462392237e-04
1.810000000000000000e+02,1.318218148269762206e-04
1.820000000000000000e+02,1.713693455227620593e-04
1.830000000000000000e+02,1.464415663945467180e-04
1.840000000000000000e+02,8.373126883600954010e-05
1.850000000000000000e+02,1.062104935123077084e-04
1.860000000000000000e+02,9.498977662635021968e-05
1.870000000000000000e+02,1.490644976958868304e-04
1.880000000000000000e+02,1.567930720083054747e-04
1.890000000000000000e+02,1.108560445658403272e-04
1.900000000000000000e+02,9.978896933727300677e-05
1.910000000000000000e+02,7.698911549558732791e-05
1.920000000000000000e+02,1.043814745801196033e-04
1.930000000000000000e+02,1.908647373894614837e-04
1.940000000000000000e+02,1.235560902627742862e-04
1.950000000000000000e+02,5.894201723613808693e-05
1.960000000000000000e+02,1.103658750119767933e-04
1.970000000000000000e+02,5.895642120700302872e-05
1.980000000000000000e+02,1.781301983395114580e-04
1.990000000000000000e+02,2.598425476161719556e-04
2.000000000000000000e+02,1.619510329091819120e-04
2.010000000000000000e+02,1.357803677186421884e-04
2.020000000000000000e+02,1.732485933108237350e-04
2.030000000000000000e+02,8.975409556422360284e-05
2.040000000000000000e+02,2.415307647923861862e-04
2.050000000000000000e+02,3.022954842310237190e-04
2.060000000000000000e+02,2.032146778588997177e-04
2.070000000000000000e+02,1.976780343116271211e-04
2.080000000000000000e+02,2.217086109821978445e-04
2.090000000000000000e+02,9.594930360756585841e-05
2.100000000000000000e+02,2.638454466398274098e-04
2.110000000000000000e+02,3.015022832745194430e-04
2.120000000000000000e+02,2.363526029148509686e-04
2.130000000000000000e+02,2.437239415699900236e-04
2.140000000000000000e+02,2.815747599306827101e-04
2.150000000000000000e+02,1.593930232212939166e-04
2.160000000000000000e+02,2.483103114144250218e-04
2.170000000000000000e+02,2.449382811509986870e-04
2.180000000000000000e+02,2.730147134980983573e-04
2.190000000000000000e+02,3.186405281760500141e-04
2.200000000000000000e+02,3.609706785957306685e-04
2.210000000000000000e+02,2.464712148715360969e-04
2.220000000000000000e+02,2.571121839346747701e-04
2.230000000000000000e+02,2.334754137463789783e-04
2.240000000000000000e+02,2.885900450497430429e-04
2.250000000000000000e+02,4.345293301412331039e-04
2.260000000000000000e+02,4.244859944981975506e-04
2.270000000000000000e+02,3.174455858934772555e-04
2.280000000000000000e+02,3.405745154721221356e-04
2.290000000000000000e+02,3.213100442100159633e-04
2.300000000000000000e+02,4.118457968829914904e-04
2.310000000000000000e+02,5.616978918606290762e-04
2.320000000000000000e+02,5.819827674888463330e-04
2.330000000000000000e+02,4.878886566890052725e-04
2.340000000000000000e+02,4.819541289357633118e-04
2.350000000000000000e+02,4.275327415139536995e-04
2.360000000000000000e+02,5.400726022971118721e-04
2.370000000000000000e+02,7.551881760112815660e-04
2.380000000000000000e+02,1.000166904106099697e-03
2.390000000000000000e+02,9.766711689415011159e-04
2.400000000000000000e+02,7.202156597252110538e-04
2.410000000000000000e+02,4.976035958558728883e-04
2.420000000000000000e+02,7.610709734207482795e-04
2.430000000000000000e+02,1.602504699956835369e-03
2.440000000000000000e+02,2.770060450683383812e-03
2.450000000000000000e+02,3.271338005480947230e-03
2.460000000000000000e+02,3.137812174609968651e-03
2.470000000000000000e+02,4.482528959942439287e-03
2.480000000000000000e+02,4.045039825809735104e-03
2.490000000000000000e+02,3.855023720804123376e-03
