freq,value
0.000000000000000000e+00,7.080066332048838009e-05
1.000000000000000000e+00,9.974949453236977670e-05
2.000000000000000000e+00,1.765805880926854098e-04
3.000000000000000000e+00,1.013079073606825450e-04
4.000000000000000000e+00,1.291185521369372512e-04
5.000000000000000000e+00,1.783366678095371291e-04
6.000000000000000000e+00,8.122432973816263047e-05
7.000000000000000000e+00,3.232257244442530769e-04
8.000000000000000000e+00,3.421791813484262030e-04
9.000000000000000000e+00,1.283778550970050521e-04
1.000000000000000000e+01,2.071286861946951675e-04
1.100000000000000000e+01,1.937720498576942950e-04
1.200000000000000000e+01,5.181595818098782939e-04
1.300000000000000000e+01,4.736233941366886201e-04
1.400000000000000000e+01,3.007342654785746545e-04
1.500000000000000000e+01,2.705786318418549295e-04
1.600000000000000000e+01,1.713500042127184624e-04
1.700000000000000000e+01,3.977199720850536110e-04
1.800000000000000000e+01,7.945772039708221988e-04
1.900000000000000000e+01,6.058319308312361262e-04
2.000000000000000000e+01,3.717647629108052900e-04
2.100000000000000000e+01,3.147024289809686234e-04
2.200000000000000000e+01,2.402615263973405073e-04
2.300000000000000000e+01,3.809684581401206506e-04
2.400000000000000000e+01,5.544402024886118264e-04
2.500000000000000000e+01,4.938084243720972360e-04
2.600000000000000000e+01,3.266897963852061692e-04
2.700000000000000000e+01,2.552248775818650008e-04
2.800000000000000000e+01,2.309218882885520695e-04
2.900000000000000000e+01,3.732581817949109492e-04
3.000000000000000000e+01,2.882063085135963413e-04
3.100000000000000000e+01,2.703602570382153446e-04
3.200000000000000000e+01,2.454058239881819117e-04
3.300000000000000000e+01,1.612936282089140493e-04
3.400000000000000000e+01,1.822723598812389916e-04
3.500000000000000000e+01,2.237307506122008138e-04
3.600000000000000000e+01,1.834801037563034334e-04
3.700000000000000000e+01,2.164367031286050622e-04
3.800000000000000000e+01,3.944042330539163348e-04
3.900000000000000000e+01,2.676645556766881796e-04
4.000000000000000000e+01,1.820227273589933206e-04
4.100000000000000000e+01,2.445443179692739256e-04
4.200000000000000000e+01,2.160475785312425520e-04
4.300000000000000000e+01,2.843172361402180790e-04
4.400000000000000000e+01,5.678332787314548102e-04
4.500000000000000000e+01,3.647210439750111664e-04
4.600000000000000000e+01,1.117858979794508631e-04
4.700000000000000000e+01,2.187632055762640934e-04
4.800000000000000000e+01,1.104711655564858042e-04
4.900000000000000000e+01,2.745935318660222037e-04
5.000000000000000000e+01,5.745589947650270486e-04
5.100000000000000000e+01,3.952240616799349319e-04
5.200000000000000000e+01,1.284526782085332341e-04
5.300000000000000000e+01,2.760886060702543842e-04
5.400000000000000000e+01,2.203838409156195751e-04
5.500000000000000000e+01,1.330652542035411386e-04
5.600000000000000000e+01,4.486600031075519530e-04
5.700000000000000000e+01,3.584734081794429313e-04
5.800000000000000000e+01,1.663833407158063808e-04
5.900000000000000000e+01,3.848830655610615517e-04
6.000000000000000000e+01,3.834573101371647813e-04
6.100000000000000000e+01,2.378727043528959431e-04
6.200000000000000000e+01,2.949301881628587719e-04
6.300000000000000000e+01,2.761771399190927597e-04
6.400000000000000000e+01,2.435760789943070405e-04
6.500000000000000000e+01,5.103798146183037348e-04
6.600000000000000000e+01,4.369309372767695224e-04
6.700000000000000000e+01,2.975116025816860240e-04
6.800000000000000000e+01,2.728667049393037345e-04
6.900000000000000000e+01,2.692204508059554730e-04
7.000000000000000000e+01,2.334306715493529301e-04
7.100000000000000000e+01,4.818726939502367894e-04
7.200000000000000000e+01,3.101559844686852300e-04
7.300000000000000000e+01,3.681128409978511951e-04
7.400000000000000000e+01,3.587567013685456037e-04
7.500000000000000000e+01,3.614483824283942900e-04
7.600000000000000000e+01,2.283182751921685643e-04
7.700000000000000000e+01,4.179216398497258007e-04
7.800000000000000000e+01,2.533333721464310845e-04
7.900000000000000000e+01,3.698327349178369330e-04
8.000000000000000000e+01,3.310664110154605761e-04
8.100000000000000000e+01,4.057258460459575852e-04
8.200000000000000000e+01,3.407649421911541085e-04
8.300000000000000000e+01,4.369538342983174590e-04
8.400000000000000000e+01,3.657471797416557294e-04
8.500000000000000000e+01,4.086623638951587551e-04
8.600000000000000000e+01,2.788796702231943780e-04
8.700000000000000000e+01,4.079007198421818418e-04
8.800000000000000000e+01,4.329984426951712963e-04
8.900000000000000000e+01,4.960695025555521016e-04
9.000000000000000000e+01,4.757279107166563926e-04
9.100000000000000000e+01,5.275497944994602404e-04
9.200000000000000000e+01,4.237916119247152401e-04
9.300000000000000000e+01,3.246077952460513878e-04
9.400000000000000000e+01,4.457964690212832225e-04
9.500000000000000000e+01,5.823077149697269842e-04
9.600000000000000000e+01,5.964824871172018936e-04
9.700000000000000000e+01,8.097974482263443994e-04
9.800000000000000000e+01,6.991231696971470216e-04
9.900000000000000000e+01,1.912897543747177809e-04
1.000000000000000000e+02,4.788944805878755386e-04
1.010000000000000000e+02,5.556774524536267287e-04
1.020000000000000000e+02,4.887524652148195333e-04
1.030000000000000000e+02,7.961385444491648426e-04
1.040000000000000000e+02,8.330919846391966711e-04
1.050000000000000000e+02,2.135656347469763944e-04
1.060000000000000000e+02,6.487474326174227620e-04
1.070000000000000000e+02,6.009923701888288724e-04
1.080000000000000000e+02,3.459661972389918095e-04
1.090000000000000000e+02,6.412830795985843216e-04
1.100000000000000000e+02,7.514349746879456313e-04
1.110000000000000000e+02,5.022312644700074272e-04
1.120000000000000000e+02,7.987833359128942469e-04
1.130000000000000000e+02,8.507257830256631731e-04
1.140000000000000000e+02,8.896121605713257869e-04
1.150000000000000000e+02,1.489307912569645329e-03
1.160000000000000000e+02,1.245744132290091876e-03
1.170000000000000000e+02,8.665849389053923400e-04
1.180000000000000000e+02,8.683235226323675598e-04
1.190000000000000000e+02,1.694193767588187327e-03
1.200000000000000000e+02,3.310491683316256050e-03
1.210000000000000000e+02,7.629210848833237191e-03
1.220000000000000000e+02,7.852272999383548557e-03
1.230000000000000000e+02,1.181499480155948339e-03
1.240000000000000000e+02,2.616247227445261340e-03
1.250000000000000000e+02,2.750454669657252226e-03
1.260000000000000000e+02,3.892045347536255643e-03
1.270000000000000000e+02,4.878039820381148244e-03
1.280000000000000000e+02,4.620971797051824474e-03
1.290000000000000000e+02,1.608858317348320485e-03
1.300000000000000000e+02,4.338880288400175089e-04
1.310000000000000000e+02,3.328784241389596242e-04
1.320000000000000000e+02,5.356651491955282752e-04
1.330000000000000000e+02,1.020206215072823764e-03
1.340000000000000000e+02,1.448864750881767366e-03
1.350000000000000000e+02,6.780673493177897257e-04
1.360000000000000000e+02,1.871010227541735824e-04
1.370000000000000000e+02,1.950638995653925932e-04
1.380000000000000000e+02,2.717742318296634480e-04
1.390000000000000000e+02,2.053516503302556229e-04
1.400000000000000000e+02,4.764121270701801754e-04
1.410000000000000000e+02,3.178864894337827532e-04
1.420000000000000000e+02,9.088833803455736451e-05
1.430000000000000000e+02,8.113295752443580719e-05
1.440000000000000000e+02,1.142903016296172166e-04
1.450000000000000000e+02,4.893673135045131675e-05
1.460000000000000000e+02,1.189016785234949642e-04
1.470000000000000000e+02,1.055730967185507035e-04
1.480000000000000000e+02,6.366973287166862827e-05
1.490000000000000000e+02,1.975739231249789782e-05
1.500000000000000000e+02,5.091768004468678237e-05
1.510000000000000000e+02,3.876568401564825956e-05
1.520000000000000000e+02,4.611079490859390864e-05
1.530000000000000000e+02,9.862856392908134770e-05
1.540000000000000000e+02,9.550387625154118547e-05
1.550000000000000000e+02,9.984577396705081234e-05
1.560000000000000000e+02,2.041363479813559684e-04
1.570000000000000000e+02,1.089900455950173705e-04
1.580000000000000000e+02,1.033774458066602064e-04
1.590000000000000000e+02,2.679590642402252952e-04
1.600000000000000000e+02,1.849773721478564369e-04
1.610000000000000000e+02,1.530668480496535466e-04
1.620000000000000000e+02,2.524424013333483562e-04
1.630000000000000000e+02,1.143658867134650576e-04
1.640000000000000000e+02,1.229874108198729323e-04
1.650000000000000000e+02,3.702841813400014129e-04
1.660000000000000000e+02,2.911107132401727837e-04
1.670000000000000000e+02,9.972895828230031825e-05
1.680000000000000000e+02,1.513097087027135909e-04
1.690000000000000000e+02,1.347758441001129502e-04
1.700000000000000000e+02,1.285873230352109064e-04
1.710000000000000000e+02,3.150322339465454332e-04
1.720000000000000000e+02,3.021905598302677878e-04
1.730000000000000000e+02,1.213414149794998895e-04
1.740000000000000000e+02,1.483790149824458634e-04
1.750000000000000000e+02,2.337671188591449790e-04
1.760000000000000000e+02,2.106495709201799287e-04
1.770000000000000000e+02,2.224273882524925778e-04
1.780000000000000000e+02,2.549974234882324627e-04
1.790000000000000000e+02,1.315009059233160707e-04
1.800000000000000000e+02,1.629041120800429302e-04
1.810000000000000000e+02,2.602827514970322185e-04
1.820000000000000000e+02,2.692210003407101426e-04
1.830000000000000000e+02,2.242638260895939107e-04
1.840000000000000000e+02,1.626490035891620697e-04
1.850000000000000000e+02,1.478421734673452770e-04
1.860000000000000000e+02,1.889508549162765639e-04
1.870000000000000000e+02,2.549328105591614347e-04
1.880000000000000000e+02,3.123368595775278351e-04
1.890000000000000000e+02,3.046118606837779248e-04
1.900000000000000000e+02,1.861054756697586216e-04
1.910000000000000000e+02,2.054794025755509140e-04
1.920000000000000000e+02,1.841179918596320508e-04
1.930000000000000000e+02,1.896135261435350871e-04
1.940000000000000000e+02,3.239953775352200365e-04
1.950000000000000000e+02,2.802375783023696083e-04
1.960000000000000000e+02,1.730639656028701702e-04
1.970000000000000000e+02,2.277401090779356061e-04
1.980000000000000000e+02,2.432870078695861847e-04
1.990000000000000000e+02,1.140394971946193618e-04
2.000000000000000000e+02,3.961001711739732490e-04
2.010000000000000000e+02,3.566521844042010560e-04
2.020000000000000000e+02,1.446751755684255812e-04
2.030000000000000000e+02,3.563571822922480996e-04
2.040000000000000000e+02,3.203550805932635403e-04
2.050000000000000000e+02,9.297725742176527440e-05
2.060000000000000000e+02,4.371040001196434526e-04
2.070000000000000000e+02,4.696999772374697282e-04
2.080000000000000000e+02,1.086782729219423077e-04
2.090000000000000000e+02,4.410698682929443688e-04
2.100000000000000000e+02,3.638907954386535982e-04
2.110000000000000000e+02,1.314343050500310682e-04
2.120000000000000000e+02,4.596371914309102307e-04
2.130000000000000000e+02,5.310253138021986006e-04
2.140000000000000000e+02,2.051313957974623486e-04
2.150000000000000000e+02,4.745912743477980161e-04
2.160000000000000000e+02,3.350607299976639144e-04
2.170000000000000000e+02,1.436331871711777524e-04
2.180000000000000000e+02,4.156065657805805939e-04
2.190000000000000000e+02,5.271709252543771125e-04
2.200000000000000000e+02,2.460526415391187257e-04
2.210000000000000000e+02,5.915928401372572316e-04
2.220000000000000000e+02,4.651551719614845223e-04
2.230000000000000000e+02,3.266411389749410035e-04
2.240000000000000000e+02,4.500349375001424937e-04
2.250000000000000000e+02,6.046191263949433729e-04
2.260000000000000000e+02,2.599315378044954653e-04
2.270000000000000000e+02,7.866576960683170942e-04
2.280000000000000000e+02,6.164790863527576988e-04
2.290000000000000000e+02,6.425816661665621592e-04
2.300000000000000000e+02,7.666823505346419786e-04
2.310000000000000000e+02,8.736669914790511429e-04
2.320000000000000000e+02,4.565523135809113346e-04
2.330000000000000000e+02,1.015283697465179432e-03
2.340000000000000000e+02,7.181991427844514574e-04
2.350000000000000000e+02,1.110789881235924991e-03
2.360000000000000000e+02,1.403212455397363301e-03
2.370000000000000000e+02,1.378474927708288854e-03
2.380000000000000000e+02,8.817886176410013807e-04
2.390000000000000000e+02,1.501375260359908868e-03
2.400000000000000000e+02,7.854088587185515877e-04
2.410000000000000000e+02,1.989516793871409783e-03
2.420000000000000000e+02,2.675807651769387691e-03
2.430000000000000000e+02,2.412719069761513208e-03
2.440000000000000000e+02,2.026471380919579041e-03
2.450000000000000000e+02,3.761907639405130503e-03
2.460000000000000000e+02,1.941245888593134917e-03
2.470000000000000000e+02,6.861850407673079390e-03
2.480000000000000000e+02,7.610805154131417699e-03
2.490000000000000000e+02,3.901981111220169905e-03
2.500000000000000000e+02,2.191792571222056334e-03
2.510000000000000000e+02,2.393373021523753554e-03
2.520000000000000000e+02,1.092533655105004664e-03
2.530000000000000000e+02,2.164428581508183978e-03
2.540000000000000000e+02,1.971406913397704894e-03
2.550000000000000000e+02,4.081466358076543742e-04
2.560000000000000000e+02,3.312035969414156979e-04
2.570000000000000000e+02,7.408372535128542047e-04
2.580000000000000000e+02,3.759948912302378760e-04
2.590000000000000000e+02,1.121291358018630755e-03
2.600000000000000000e+02,1.207774334256806695e-03
2.610000000000000000e+02,4.305472670738527078e-04
2.620000000000000000e+02,1.225095314996989910e-04
2.630000000000000000e+02,3.349336845148951107e-04
2.640000000000000000e+02,1.996625849945457250e-04
2.650000000000000000e+02,6.408617387085813405e-04
2.660000000000000000e+02,7.559769024652696155e-04
2.670000000000000000e+02,3.617599361654629843e-04
2.680000000000000000e+02,1.921228555833393936e-04
2.690000000000000000e+02,2.571589418420110185e-04
2.700000000000000000e+02,8.632431199160804040e-05
2.710000000000000000e+02,3.739121959343801645e-04
2.720000000000000000e+02,4.021118392599260676e-04
2.730000000000000000e+02,1.998712992587438819e-04
2.740000000000000000e+02,1.275098775664535757e-04
2.750000000000000000e+02,1.919908186007177932e-04
2.760000000000000000e+02,3.278665633212059065e-05
2.770000000000000000e+02,2.026943799738469367e-04
2.780000000000000000e+02,1.881511459813865468e-04
2.790000000000000000e+02,5.127370593999760882e-05
2.800000000000000000e+02,4.625443983439426923e-05
2.810000000000000000e+02,1.140355360849648462e-04
2.820000000000000000e+02,4.053968175626084663e-05
2.830000000000000000e+02,6.398122852224636954e-05
2.840000000000000000e+02,6.004553929933701155e-05
2.850000000000000000e+02,2.721497215524128433e-05
2.860000000000000000e+02,5.151372708270229286e-05
2.870000000000000000e+02,7.310729006511604050e-05
2.880000000000000000e+02,4.796217781671399590e-05
2.890000000000000000e+02,4.614767468136368489e-05
2.900000000000000000e+02,3.472918336412330226e-05
2.910000000000000000e+02,2.883869549912030535e-05
2.920000000000000000e+02,6.147291362915149686e-05
2.930000000000000000e+02,4.517232659054428855e-05
2.940000000000000000e+02,3.679885712075159397e-05
2.950000000000000000e+02,1.847150193540534171e-05
2.960000000000000000e+02,3.062124160545472205e-05
2.970000000000000000e+02,2.506035332440320664e-05
2.980000000000000000e+02,3.157131810526476507e-05
2.990000000000000000e+02,2.855040836375635660e-05
3.000000000000000000e+02,2.647775922235291510e-05
3.010000000000000000e+02,1.401145752700465212e-05
3.020000000000000000e+02,4.046607476938645097e-05
3.030000000000000000e+02,6.867637761836308343e-05
3.040000000000000000e+02,1.002047840881094000e-04
3.050000000000000000e+02,6.142278465343778741e-05
3.060000000000000000e+02,3.326712485601764020e-05
3.070000000000000000e+02,2.938826388186706535e-05
3.080000000000000000e+02,4.312118857677778528e-05
3.090000000000000000e+02,9.963957806049102096e-05
3.100000000000000000e+02,1.377891117311124043e-04
3.110000000000000000e+02,9.493508953455550843e-05
3.120000000000000000e+02,5.700120709986208586e-05
