freq,value
0.000000000000000000e+00,8.085915385540165111e-05
1.000000000000000000e+00,6.494138909252573672e-05
2.000000000000000000e+00,1.079514078048766294e-04
3.000000000000000000e+00,8.872518125022872183e-05
4.000000000000000000e+00,2.508596440167125494e-04
5.000000000000000000e+00,1.488364307786534807e-04
6.000000000000000000e+00,1.834788200876731113e-04
7.000000000000000000e+00,2.743958428484699771e-04
8.000000000000000000e+00,2.044619789245831791e-04
9.000000000000000000e+00,1.758091669297466879e-04
1.000000000000000000e+01,2.649621759888526025e-04
1.100000000000000000e+01,4.703646958534104540e-04
1.200000000000000000e+01,4.406297243600535460e-04
1.300000000000000000e+01,1.498468073612568981e-04
1.400000000000000000e+01,1.319380215577057713e-04
1.500000000000000000e+01,1.335445294209119569e-04
1.600000000000000000e+01,1.645287228804418063e-04
1.700000000000000000e+01,4.141912547234358178e-04
1.800000000000000000e+01,5.454097125071446020e-04
1.900000000000000000e+01,1.722379935814728454e-04
2.000000000000000000e+01,1.983202529311800543e-04
2.100000000000000000e+01,1.409307155146103643e-04
2.200000000000000000e+01,2.634817203096927857e-04
2.300000000000000000e+01,3.555192488149240635e-04
2.400000000000000000e+01,4.130331335365959936e-04
2.500000000000000000e+01,1.615498116623711382e-04
2.600000000000000000e+01,1.126314470941748602e-04
2.700000000000000000e+01,9.038593408835359107e-05
2.800000000000000000e+01,1.478317582609243335e-04
2.900000000000000000e+01,2.288467284235082765e-04
3.000000000000000000e+01,1.928369933113238135e-04
3.100000000000000000e+01,2.371849061156566124e-04
3.200000000000000000e+01,7.558329152064183914e-05
3.300000000000000000e+01,1.623052784776912770e-04
3.400000000000000000e+01,1.831866671440132146e-04
3.500000000000000000e+01,2.714497013610025827e-04
3.600000000000000000e+01,1.735257505059389200e-04
3.700000000000000000e+01,2.129653733591108447e-04
3.800000000000000000e+01,2.270570389926916352e-04
3.900000000000000000e+01,1.830479579043679252e-04
4.000000000000000000e+01,1.888780407913084988e-04
4.100000000000000000e+01,2.524600528261394371e-04
4.200000000000000000e+01,1.540510082604687990e-04
4.300000000000000000e+01,2.039121628130038510e-04
4.400000000000000000e+01,2.004350748538468634e-04
4.500000000000000000e+01,1.892124420255987581e-04
4.600000000000000000e+01,2.467639717609138657e-04
4.700000000000000000e+01,2.970511371693361643e-04
4.800000000000000000e+01,1.687778543791730416e-04
4.900000000000000000e+01,1.294315027159481895e-04
5.000000000000000000e+01,1.681814597293958768e-04
5.100000000000000000e+01,1.989451695503364310e-04
5.200000000000000000e+01,2.661342247948334742e-04
5.300000000000000000e+01,1.958688271282251533e-04
5.400000000000000000e+01,2.345424369336271018e-04
5.500000000000000000e+01,1.511295300124434213e-04
5.600000000000000000e+01,1.869184843705010667e-04
5.700000000000000000e+01,2.387828140301906041e-04
5.800000000000000000e+01,2.794675386755815028e-04
5.900000000000000000e+01,2.038613965808805807e-04
6.000000000000000000e+01,2.672712416399053740e-04
6.100000000000000000e+01,1.175082864368202402e-04
6.200000000000000000e+01,2.130647632591785756e-04
6.300000000000000000e+01,2.781658063899715384e-04
6.400000000000000000e+01,2.931376185444743297e-04
6.500000000000000000e+01,1.615405550382791467e-04
6.600000000000000000e+01,1.734791305076937196e-04
6.700000000000000000e+01,2.186592700385785832e-04
6.800000000000000000e+01,2.519402696578356424e-04
6.900000000000000000e+01,2.793700707336133331e-04
7.000000000000000000e+01,1.760970130805077918e-04
7.100000000000000000e+01,1.652283988127913419e-04
7.200000000000000000e+01,1.219017741632135398e-04
7.300000000000000000e+01,2.865440320761274660e-04
7.400000000000000000e+01,2.762037992759648966e-04
7.500000000000000000e+01,3.877793813660323293e-04
7.600000000000000000e+01,2.207225890510720444e-04
7.700000000000000000e+01,1.726777884539104375e-04
7.800000000000000000e+01,1.519113781761881083e-04
7.900000000000000000e+01,4.675872775832771045e-04
8.000000000000000000e+01,3.242541226146007129e-04
8.100000000000000000e+01,4.176786426366471249e-04
8.200000000000000000e+01,2.827879164272059870e-04
8.300000000000000000e+01,1.629052485063526483e-04
8.400000000000000000e+01,2.070718573818327636e-04
8.500000000000000000e+01,5.254654284317684942e-04
8.600000000000000000e+01,3.047980455563535076e-04
8.700000000000000000e+01,4.185703110116892204e-04
8.800000000000000000e+01,2.224677207236004390e-04
8.900000000000000000e+01,1.603431823907278662e-04
9.000000000000000000e+01,2.948117468223816805e-04
9.100000000000000000e+01,5.459867598201382718e-04
9.200000000000000000e+01,2.444878605541079457e-04
9.300000000000000000e+01,4.078617378880186215e-04
9.400000000000000000e+01,2.216279202145782950e-04
9.500000000000000000e+01,3.130321183453245145e-04
9.600000000000000000e+01,4.864103751463176020e-04
