freq,value
0.000000000000000000e+00,4.367411890963613296e-04
1.666666666666666741e+00,3.901188700850515955e-04
3.333333333333333481e+00,4.456524402426878398e-04
5.000000000000000000e+00,9.950524386461284936e-04
6.666666666666666963e+00,6.077249252032803327e-04
8.333333333333333925e+00,6.830450577526021427e-04
1.000000000000000000e+01,4.342478511507760720e-04
1.166666666666666785e+01,8.608323865607120026e-04
1.333333333333333393e+01,1.403503257080436105e-03
1.500000000000000000e+01,1.058805842177671687e-03
1.666666666666666785e+01,5.560784451502430534e-04
1.833333333333333570e+01,4.608848170121438120e-04
2.000000000000000000e+01,5.487774768803872511e-04
2.166666666666666785e+01,1.193622231063326165e-04
2.333333333333333570e+01,1.818260777057941412e-04
2.500000000000000000e+01,5.677209140627796418e-04
2.666666666666666785e+01,4.264978598167391485e-04
2.833333333333333570e+01,2.453812882235484089e-04
3.000000000000000000e+01,6.582470131004424310e-04
3.166666666666666785e+01,1.208006103725266624e-03
3.333333333333333570e+01,1.191560208371591828e-03
3.500000000000000000e+01,6.180712436745710659e-04
3.666666666666667140e+01,2.982353632173364633e-04
3.833333333333333570e+01,1.073034018515662906e-04
4.000000000000000000e+01,5.577630046419076868e-05
4.166666666666667140e+01,9.910447529763083462e-05
4.333333333333333570e+01,1.200546335101180617e-04
4.500000000000000000e+01,3.217654971769510911e-04
4.666666666666667140e+01,2.001889915374506577e-04
4.833333333333333570e+01,2.741993032066393564e-04
5.000000000000000000e+01,4.975392293839947305e-04
5.166666666666667140e+01,1.164687652148489261e-03
5.333333333333333570e+01,6.440388561077566151e-04
5.500000000000000000e+01,2.823625483717881143e-04
5.666666666666667140e+01,5.467387976920895292e-04
5.833333333333333570e+01,2.138337793904206347e-04
6.000000000000000000e+01,7.924541818231016586e-04
6.166666666666667140e+01,2.004409398389609461e-03
6.333333333333333570e+01,7.327464078597003801e-04
6.500000000000000000e+01,1.274148877317014296e-03
6.666666666666667140e+01,1.252743233668233806e-03
6.833333333333334281e+01,1.792366935945403526e-03
7.000000000000000000e+01,1.155044999835731388e-03
7.166666666666667140e+01,1.550576611552768620e-03
7.333333333333334281e+01,1.640243877589156289e-03
7.500000000000000000e+01,1.409708100746200196e-03
7.666666666666667140e+01,1.928465867972919317e-03
7.833333333333334281e+01,3.643209640132626711e-03
8.000000000000000000e+01,5.664750127558323793e-03
8.166666666666667140e+01,3.103552540698858823e-03
8.333333333333334281e+01,2.114290017592954443e-03
8.500000000000000000e+01,1.821893637565766451e-03
8.666666666666667140e+01,3.582190683388785084e-03
8.833333333333334281e+01,4.832361281139617958e-03
9.000000000000000000e+01,2.335594863024681965e-03
9.166666666666667140e+01,3.725192867682320091e-03
9.333333333333334281e+01,5.023136496988674267e-03
9.500000000000000000e+01,2.631127883742282944e-03
9.666666666666667140e+01,4.119983481273108844e-03
9.833333333333334281e+01,9.465879721753871906e-03
1.000000000000000000e+02,1.397092812063058416e-02
1.016666666666666714e+02,9.814336540089493854e-03
1.033333333333333428e+02,4.917603598806033829e-03
1.050000000000000000e+02,9.028124316028909857e-03
1.066666666666666714e+02,1.369161253511094051e-02
1.083333333333333428e+02,8.808355085258356282e-03
1.100000000000000000e+02,9.925836883732681165e-03
1.116666666666666714e+02,9.526399864027855838e-03
1.133333333333333428e+02,2.871154881971680825e-02
1.150000000000000000e+02,2.618622555538889160e-02
1.166666666666666714e+02,1.691023310083288739e-02
1.183333333333333428e+02,1.954335569473796691e-02
1.200000000000000000e+02,8.333140989355569683e-02
1.216666666666666714e+02,6.865344077891552543e-02
1.233333333333333428e+02,2.105608614868344219e-02
1.250000000000000000e+02,1.620831622546595185e-02
1.266666666666666714e+02,1.130785988608299791e-01
1.283333333333333428e+02,1.169222598832499321e-01
1.300000000000000000e+02,1.639244369815908223e-02
1.316666666666666856e+02,1.541482241148402731e-02
1.333333333333333428e+02,5.063266219306231108e-02
1.350000000000000000e+02,4.077132094243598320e-02
1.366666666666666856e+02,9.990092265676082592e-03
1.383333333333333428e+02,8.021588211697759652e-03
1.400000000000000000e+02,1.544990274754232465e-02
1.416666666666666856e+02,2.270757340537902375e-02
1.433333333333333428e+02,1.419586140724075213e-02
1.450000000000000000e+02,4.422475757232113315e-03
1.466666666666666856e+02,1.211053639260512363e-02
1.483333333333333428e+02,8.644275843379786023e-03
1.500000000000000000e+02,1.174787759616950124e-02
1.516666666666666856e+02,9.454388548539284509e-03
1.533333333333333428e+02,4.719061289744115074e-03
1.550000000000000000e+02,2.889110084566111781e-03
1.566666666666666856e+02,8.580195648638030970e-04
1.583333333333333428e+02,2.371086525696663831e-03
1.600000000000000000e+02,4.584239391424464391e-04
1.616666666666666856e+02,4.280336643373049317e-03
1.633333333333333428e+02,3.278708045065600093e-03
1.650000000000000000e+02,3.418128534083865119e-03
1.666666666666666856e+02,7.401064043060722689e-04
1.683333333333333428e+02,2.738052986039261893e-03
1.700000000000000000e+02,4.393976200981707797e-03
1.716666666666666856e+02,5.100940047594404968e-03
1.733333333333333428e+02,3.168018036623137558e-03
1.750000000000000000e+02,2.735919663766736738e-03
1.766666666666666856e+02,1.459496176901709007e-03
1.783333333333333428e+02,3.811115876270209507e-03
1.800000000000000000e+02,1.993070430920392249e-03
1.816666666666666856e+02,2.345247079261131903e-03
1.833333333333333428e+02,7.073164565485744008e-03
