freq,value
0.000000000000000000e+00,4.045885756291801687e-04
1.000000000000000000e+00,4.572471808878898259e-04
2.000000000000000000e+00,5.793496388907621794e-04
3.000000000000000000e+00,6.663587126981474927e-04
4.000000000000000000e+00,6.713942664831664417e-04
5.000000000000000000e+00,2.767412865715434037e-04
6.000000000000000000e+00,3.136753944573023468e-04
7.000000000000000000e+00,4.403855710236597321e-04
8.000000000000000000e+00,4.291129435177722063e-04
9.000000000000000000e+00,3.317182284454786773e-04
1.000000000000000000e+01,4.573751899412191566e-04
1.100000000000000000e+01,4.970240288710815139e-04
1.200000000000000000e+01,2.699352363855654288e-04
1.300000000000000000e+01,3.926273337175451277e-04
1.400000000000000000e+01,6.298230557479035305e-04
1.500000000000000000e+01,5.585568053444931163e-04
1.600000000000000000e+01,4.011560751800096847e-04
1.700000000000000000e+01,4.472380381835619739e-04
1.800000000000000000e+01,4.920474983978062209e-04
1.900000000000000000e+01,5.711814421326986491e-04
2.000000000000000000e+01,5.299136753426266768e-04
2.100000000000000000e+01,5.414772846978328606e-04
2.200000000000000000e+01,5.878961253120537807e-04
2.300000000000000000e+01,4.297656803315847178e-04
2.400000000000000000e+01,4.291502967045908510e-04
2.500000000000000000e+01,4.936220255423983674e-04
2.600000000000000000e+01,4.622394330068847735e-04
2.700000000000000000e+01,2.577825012927208951e-04
2.800000000000000000e+01,4.104818720183774040e-04
2.900000000000000000e+01,4.849196385658608843e-04
3.000000000000000000e+01,2.644418286257482287e-04
3.100000000000000000e+01,5.041338044009291463e-04
3.200000000000000000e+01,5.792962640289553607e-04
3.300000000000000000e+01,4.698603735755097779e-04
3.400000000000000000e+01,5.562249170501549090e-04
3.500000000000000000e+01,2.448050843098270894e-04
3.600000000000000000e+01,5.338690457683380880e-04
3.700000000000000000e+01,5.375959729977828000e-04
3.800000000000000000e+01,5.129352696525974050e-04
3.900000000000000000e+01,3.569729472768677289e-04
4.000000000000000000e+01,5.647502888017275806e-04
4.100000000000000000e+01,5.921923962861031735e-04
4.200000000000000000e+01,3.343742055106676951e-04
4.300000000000000000e+01,3.399348124767741881e-04
4.400000000000000000e+01,4.031753106811698925e-04
4.500000000000000000e+01,5.690179011582792955e-04
4.600000000000000000e+01,3.795642661594306904e-04
4.700000000000000000e+01,4.959150269381965579e-04
4.800000000000000000e+01,5.684393775237186770e-04
4.900000000000000000e+01,6.568341247781548427e-04
5.000000000000000000e+01,3.953731433429745587e-04
5.100000000000000000e+01,1.720372181887373883e-04
5.200000000000000000e+01,3.520192838246602451e-04
5.300000000000000000e+01,4.961211663700547522e-04
5.400000000000000000e+01,4.093697488344630558e-04
5.500000000000000000e+01,3.332287304619521847e-04
5.600000000000000000e+01,5.345004762016514980e-04
5.700000000000000000e+01,5.541591766912689612e-04
5.800000000000000000e+01,8.525009599969416004e-04
5.900000000000000000e+01,8.825103823592618524e-04
6.000000000000000000e+01,5.937939481766834476e-04
6.100000000000000000e+01,6.012848542240784066e-04
6.200000000000000000e+01,8.355489188275264101e-04
6.300000000000000000e+01,1.085632166710334126e-03
6.400000000000000000e+01,1.195758217012054267e-03
6.500000000000000000e+01,7.679918131642708224e-04
